TF gene ID,level in GCN
Zm00001d043060, 3
Zm00001d050023, 11
Zm00001d017444, 13
Zm00001d018203, 13
Zm00001d012505, 3
Zm00001d002794, 12
Zm00001d051328, 13
Zm00001d033291, 13
Zm00001d013709, 5
Zm00001d024323, 14
Zm00001d004086, 3
Zm00001d039584, 4
Zm00001d051550, 11
Zm00001d017712, 14
Zm00001d015515, 6
Zm00001d036726, 13
Zm00001d025669, 12
Zm00001d003331, 13
Zm00001d006001, 5
Zm00001d052847, 5
Zm00001d020881, 7
Zm00001d006702, 12
Zm00001d021947, 14
Zm00001d030969, 5
Zm00001d033965, 10
Zm00001d013307, 9
Zm00001d016052, 5
Zm00001d037054, 3
Zm00001d044162, 6
Zm00001d041740, 9
Zm00001d035323, 5
Zm00001d038451, 3
Zm00001d010399, 14
Zm00001d034888, 13
Zm00001d047309, 6
Zm00001d020492, 7
Zm00001d028962, 5
Zm00001d041958, 15
Zm00001d011133, 3
Zm00001d020136, 4
Zm00001d052357, 3
Zm00001d034073, 3
Zm00001d043474, 6
Zm00001d013661, 13
Zm00001d013662, 13
Zm00001d017391, 11
Zm00001d031109, 13
Zm00001d025944, 12
Zm00001d028216, 12
Zm00001d048083, 13
Zm00001d018829, 13
Zm00001d032502, 13
Zm00001d002829, 12
Zm00001d041277, 13
Zm00001d032177, 13
Zm00001d023289, 15
Zm00001d017784, 12
Zm00001d039116, 4
Zm00001d020774, 11
Zm00001d009674, 7
Zm00001d005931, 8
Zm00001d013409, 13
Zm00001d051573, 13
Zm00001d003645, 3
Zm00001d041780, 13
Zm00001d049000, 13
Zm00001d032175, 13
Zm00001d005757, 10
Zm00001d020460, 7
Zm00001d044662, 14
Zm00001d020459, 14
Zm00001d050443, 3
