TF gene ID,level in GCN
Zm00001d022550, 12
Zm00001d043992, 2
Zm00001d039065, 3
Zm00001d007172, 4
Zm00001d037317, 15
Zm00001d026398, 3
Zm00001d002143, 13
Zm00001d008225, 3
Zm00001d023507, 3
Zm00001d004857, 2
Zm00001d053162, 3
Zm00001d028371, 12
Zm00001d030858, 4
Zm00001d031759, 13
Zm00001d032496, 3
Zm00001d034145, 3
Zm00001d003392, 7
Zm00001d005323, 14
Zm00001d005788, 14
Zm00001d005871, 13
Zm00001d050551, 14
Zm00001d012968, 3
Zm00001d015525, 5
Zm00001d021386, 12
Zm00001d047968, 13
Zm00001d028139, 3
Zm00001d028537, 13
Zm00001d026684, 13
Zm00001d004497, 14
Zm00001d007339, 2
Zm00001d042933, 4
Zm00001d043243, 3
Zm00001d050730, 3
Zm00001d053006, 15
Zm00001d014345, 14
Zm00001d016793, 3
Zm00001d036297, 14
Zm00001d021842, 5
Zm00001d012605, 3
Zm00001d020683, 12
Zm00001d031992, 13
Zm00001d026113, 12
Zm00001d021403, 13
Zm00001d032922, 15
Zm00001d044261, 10
Zm00001d011223, 14
Zm00001d048590, 11
Zm00001d018605, 13
Zm00001d005566, 13
Zm00001d020037, 12
Zm00001d048404, 7
Zm00001d011139, 13
Zm00001d012092, 12
Zm00001d006682, 6
Zm00001d042202, 8
Zm00001d021932, 7
Zm00001d052883, 12
Zm00001d020923, 11
Zm00001d009030, 12
Zm00001d027677, 7
Zm00001d023788, 14
Zm00001d012119, 13
Zm00001d048400, 3
Zm00001d028361, 13
Zm00001d047976, 13
Zm00001d016911, 3
Zm00001d006344, 8
Zm00001d023299, 13
Zm00001d024703, 9
Zm00001d025450, 11
Zm00001d003616, 3
Zm00001d035455, 9
Zm00001d033610, 5
Zm00001d023636, 2
Zm00001d024534, 3
Zm00001d025060, 12
Zm00001d001933, 3
Zm00001d001952, 5
Zm00001d041702, 4
Zm00001d051838, 6
Zm00001d053682, 5
Zm00001d053841, 14
Zm00001d013497, 7
Zm00001d017595, 10
Zm00001d018360, 5
Zm00001d036796, 6
Zm00001d037769, 3
Zm00001d020242, 13
Zm00001d022427, 4
Zm00001d008323, 3
Zm00001d008326, 13
Zm00001d008356, 12
Zm00001d008812, 3
Zm00001d033553, 14
Zm00001d044481, 3
Zm00001d010956, 7
Zm00001d049223, 8
Zm00001d012049, 3
Zm00001d028007, 4
Zm00001d014286, 4
Zm00001d047209, 13
Zm00001d003958, 13
Zm00001d007107, 3
