BIN	# in LD	# in TD	PDF in LD	PDF in TD	CDF_asc in LD	CDF_asc in TD	CDF_desc in LD	CDF_desc in TD
0.800000	186290	185641	0.004254	0.004240	0.948250	0.945929	0.056005	0.058311
0.810000	182349	182490	0.004164	0.004168	0.952414	0.950096	0.051750	0.054071
0.820000	178415	178443	0.004074	0.004075	0.956488	0.954171	0.047586	0.049904
0.830000	173542	174804	0.003963	0.003992	0.960452	0.958163	0.043512	0.045829
0.840000	168150	170235	0.003840	0.003888	0.964292	0.962051	0.039548	0.041837
0.850000	163295	166006	0.003729	0.003791	0.968021	0.965842	0.035708	0.037949
0.860000	157208	161903	0.003590	0.003697	0.971611	0.969539	0.031979	0.034158
0.870000	152420	156059	0.003481	0.003564	0.975092	0.973103	0.028389	0.030461
0.880000	145757	150526	0.003329	0.003438	0.978421	0.976541	0.024908	0.026897
0.890000	139535	143541	0.003187	0.003278	0.981607	0.979819	0.021579	0.023459
0.900000	132039	136446	0.003015	0.003116	0.984623	0.982935	0.018393	0.020181
0.910000	123808	128476	0.002827	0.002934	0.987450	0.985869	0.015377	0.017065
0.920000	114692	120685	0.002619	0.002756	0.990069	0.988625	0.012550	0.014131
0.930000	104359	110898	0.002383	0.002533	0.992452	0.991158	0.009931	0.011375
0.940000	93482	99896	0.002135	0.002281	0.994587	0.993439	0.007548	0.008842
0.950000	80291	88504	0.001834	0.002021	0.996421	0.995460	0.005413	0.006561
0.960000	66018	76083	0.001508	0.001738	0.997929	0.997198	0.003579	0.004540
0.970000	50771	61284	0.001159	0.001400	0.999088	0.998597	0.002071	0.002802
0.980000	31232	42715	0.000713	0.000975	0.999801	0.999573	0.000912	0.001403
0.990000	8700	18709	0.000199	0.000427	1.000000	1.000000	0.000199	0.000427
1.000000	1	0	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000
